id,cluster,entropy,turbulence,transitions
656,type 1,0.261001822254378,3.33006430996604,2
657,type 1,0.251462998580061,2.96384033670458,1
658,type 3,0.407348878305394,4.10714216766132,2
659,type 1,0.136698050715568,2.21266088331867,1
660,type 3,0.279279910128661,3.26449981483829,1
661,type 3,0.314065492438533,3.52006272592806,2
662,type 1,0.329572509844673,3.68102522250199,2
663,type 3,0.251462998580061,2.96384033670458,1
664,type 1,0.261001822254378,3.33006430996604,2
665,type 3,0.314065492438533,3.52006272592806,2
666,type 1,0.181432261960644,2.44214272944144,1
667,type 3,0.356650471575569,3.71937153415147,2
668,type 1,0.0815649357620124,2,1
669,type 1,0.0815649357620124,2,1
670,type 1,0.34959002456611,4.30718150951818,3
671,type 4,0.0815649357620124,2,1
672,type 2,0.65507521414742,6.22899515616069,3
673,type 1,0.296526354381955,4.14855654050828,3
674,type 1,0.21695679408822,3.16220118545164,2
675,type 2,0.512524277171969,5.27547917220044,2
676,type 1,0.21695679408822,3.16220118545164,2
677,type 1,0.0815649357620124,2,1
678,type 1,0.181432261960644,2.44214272944144,1
679,type 1,0.376119161532783,4.45414766068238,3
680,type 4,0.136698050715568,2.21266088331867,1
681,type 1,0.181432261960644,2.44214272944144,1
682,type 1,0.0815649357620124,2,1
